text,toxic
"Өкінішке орай, мен ақымақ пиндостың деңгейіне түсуге тура келеді: Пиндо өздерінің фишингтонымен қанша секунд жоғалып кететінін түсінуі үшін мультфильмдерді көрсетуім керек.",1
"Мылқау, бұл мылжың, бұл қасқыр өз шалбарына және олардың астына ағартылған.",1
"Айтпақшы, егер біз ауыл тұрғындары туралы сөйлесетін болсақ, онда украиндар кацепске қарағанда тартымды болады.",1
"Ол сізге бір жерде өртеледі, шамалы бұрышпен жағылған ...",1
"Бұл мал, сол.",1
"Антонио, барлығыңыз сіз қызылсыз!",0
"Сонымен, сіз гомосексуалсыз ба?",1
Менің түсініктеме - бұл басқа түсініктемеге жауап.,1
Сіз орыс емессіз.,1
Сіз қай жастасыз?,1
"Дәлелдер жасай алмайтындығыңыз анық, сіз тек минус белгісін ғана басуыңыз мүмкін екені анық.",1
Сіздің азаматтарыңыз?,1
Тамбов Вольф сіз жолдассыз!,1
"Влад Влад Сисянның шаңы маңында уланып, бірақ бұл ақымақтық емес.",1
"Мен өз өмірімде осындай қымбат сыраны сатып алмас едім ... Елорда тұрғындары үшін күнделікті заттар бар, олар күнделікті емес.",1
Навальный Максим Галкин Максгалкинру маған сұрақ қойды.,1
Сенбеймін.,0
Поличатьеде жақында голландиялық оркестрмен немесе Париждегі жарылыста жойылған үй туралы жазған кезде тереңдікке терең талдау жасау мүмкіндігі бар ма?,1
Себебі бұл қожайын.,0
"Украиналықтардың руларында, әсіресе батыс, екі ой бала кезінен жасалады: 1. Сіз ең ақылдысыз.",1
"Менің досым, шамамен 10 жаста, ол темекі шекпеді.",0
Украиналық Гейсенбергтер қандай?,1
"Шизоид, сіз мұнда қарым-қатынасты қайдандырдыңыз?",1
"Мылқау мылқау, Т-Ла-Лу-Лу-Лу!",1
Ал сен кімсің?,1
"Қымбаттым, иә, сен үрейленесің.",1
"СІЗГЕ ЖҰМЫС СІЗДІҢ Шизоид, сіз өз ойыңызды дұрыс білдіре аласыз ба?",1
"Израильдегі жезөкшелер саны өткен аптада өсуді жалғастыруда, өйткені Иерусалимдегі Иерусалимдегі Яһудилердің яһуттық зерттеулеріне арналған жыл сайынғы конференция барысында баяндама ұсынылды.",0
Мен оның қалай пайда болатынын түсінбеймін.,0
"Неліктен сіз бірдеңе жазып жатырсыз, өйткені мен үбіт етуге болатындықтан, хаха сіздің ұзақ пікірлеріңізді ескере отырып, алыстады, сондықтан сіз ол жаққа ақыл-ойға шағымданасыз ба?",1
"Аузыңызды сабынмен, жолдаспен жуыңыз.",1
"Иә, біз сіздердің, бәлкім, полюс екеніңізді түсіндік.",1
Азахна В.С. Ржачная В.С. Донбасс В.Х. Донбасс Вулға шабуыл жасады. Помойсрашидің Тула аймағына қалай шабуыл жасағаны туралы.,1
"Егер қорлау болса, мен сізге қатты өкінемін.",0
Кездесудің мақсаты газ жеткізілімдерін сақтау бойынша келіссөздер болды.,1
"Иә, маған PCPortal Org форумының 51-9843-1 маңызды модерациясы тыйым салынбайды 51-9843-1 Мүмкін бұл сізге көмектесетін шығар, ең экстремалды нұсқа қалай?",0
"Мұнда осы төлемнен жіптер, түйіршіктер жасау үшін үйреніңіз.",1
"Сонымен, сіз мұнда алқаптағы короз сияқты секірдіңіз, сіз дәлелденген кезде, сіз біріктіріліп, тіпті кешірім сұрадыңыз.",1
Неге мені украиндарда жаздыңыз?,1
"Мен қандай да бір жолмен, мен жаңа сервер Moder Modget компаниясында аналық платамен таныстым.",0
"Адам модераторды шешіп, шағымдануға рұқсат етіңіз.",1
Ал не?,1
"Кедей, сен қалайсың, сен қалайсың, өмірде, алданбың, айналадағы және есірткіге тәуелді.",1
Егер олар жаңа юбкалар спинтерселленген болса жақсы болар еді.,1
"Кешіріңіз, ласқа кеткенім жақсы ма?",0
Жаңартылатын энергия көздерінің энергиясы қазіргі уақытта қымбатырақ екендігімен келісемін.,0
"Ух, АГ?",1
Оның өзі немен айналысуы мүмкін,1
"Мен ешқашан WhatsApp қолданбағанмын, бірақ мен бір турнирге ставка жасауым керек.",0
"Мен SN-мен бірге 50-60к-дің жақсы жұмысы сияқты бір нәрсе таптым, өйткені менде өте супер болды, мүмкін, ескі, мүмкін, мен 15-30-да алдым, баждар бірдей және жағдай жақсы, сұхбат және тағылымдамалар",0
"Әлбетте, жақтарын және басқа да Федоровичтің баблингін бөртетіні анық, бұл елдің барлығы бір-бірімен айналысады.",1
"Әлбетте, жақтарын және басқа да Федоровичтің баблингін бөртетіні анық, бұл елдің барлығы бір-бірімен айналысады.",1
"Польшадағы Западденский қақты - бұл қарапайым, бұл қарапайым.",1
"ХХІ ғасыр, сен қалай сауатсыз?",1
"Сіз бұл соғыс үшін алдыңғы қатарда болар едіңіз, ақымақ.",1
Сіз депрессияға ұшыраған сияқтысыз.,0
Мен де манекендерден айырыламын.,1
Олай емес: төсеніштерден.,1
"Сіз өзіңіздің тарихыңызды ұмытпаңыз, сіздің ұлы Грузия Персия мен Түркияның барлық асктері үшін жас грузин фаготтарына қалай құрмет көрсетті.",1
"Игорь, сен бе?",1
"Иә, сіз оны маған лақтырып жібердіңіз бе?",0
"Баланың қанша балалы өсіргенін біліңіз, бұл баланың қарапайым және оңай болжанған алгоритмі, ол мүмкін емес алгоритм екенін растау үшін мүмкін емес?",0
Қырым Украинаның осы Хохлосяндра дауысқа ие!,1
"Ешкім бақытты емес және сіздерді В-да күтіп отырмайды, сіз қоқыссыз.",1
Сіз менің жүрегімде көрсеткенсіз.,0
Мұның бұл ағып жатқан бит-Хохлушка екенін әрқашан білді.,1
Және сенікі тұрмады!,1
"Fuck, әр екінші отбасы бір-бірінен құлап жатыр.",1
"Мысалы, сіз балалық шақта ату үшін диктен психопат.",1
"Қабылданған әскери доктриналар сізбен келіспейді, FAG.",1
"Сіз сақинаны сатып алып, ақымақ жүгіріңіз!",1
Сіз күзетші болып тағайындалдыңыз ба?,1
Бір жарым мыңнан астам адам Оңтүстік Кореядағы қонақ үйлерден заңсыз онлайн хабар таратудың құрбаны болды.,0
"Мен олардың анасы Ибал, Маааааааматкунеммін!",1
"Мен берген сілтемелер, модератор жұмсақ және дұрыс пішінде мені жұқтыруға жіберді",0
күлкілі.,0
Сіздің хабарламаңыз бұзылды.,0
"Иә, бәрі бұл кептірілген шит туралы ештеңе бермейді!",1
Сізде түнгі большевиялық шиеленісу бар ма?,1
"Гректер әрдайым Ресейге барады, бұл еврейлер Либералдар сияқты, Франк Руссофестер сияқты, біз олармен сөйлесуге, Athos, Huyony ... және гректер тек орыстарды жыпылықтайды және еврейлерден аздап тоналды",1
"Ылғалдамаңыз, әже",0
Иә.,0
Артқы көрініс камерасы және кітап лигасы?,0
"О, жалған.",1
"Сондықтан шамамен 12,5 мың тұрады, бірақ ол маған 6636 рубльден және тегін жеткізілімде келді",0
Неліктен осында сөйлесіп жатырсың?,1
PROOF немесе Pi..бол,1
"Ия, сіз сондай-ақ теңгерімсізсіз.",1
Сілтемелерді Sportloto-ға жібергеніңіз жөн.,0
"Мен сізден басқа ештеңе күтпедім, максималды мектеп оқушысы.",1
"Ал, сен менің досың болғанымды қалайсыз ба?",0
Ол қазірдің өзінде мәжбүр болды) Сіз бірінші болып қайта мәжбүрлеу немесе одан бас тартуыңыз керек.,1
Уақыт бойынша жеткізу - 38 апта.,0
"Сіз тек оларды шығарып қана қоймай, кіреберістің жанында ату үшін жеткілікті дәлелдер келтірдіңіз.",1
"Менің анам күзетші болып жұмыс істеді, содан кейін олар сендер, олар сені не істемейді, ол Whatsap-қа жауап бермеді.",1
Мұның екеуі.,1
сіздің басыңыздағы тесік.,1
"Ол енді CD Shit туралы ұялшақ, модератор оның досы немесе не?",1
"Сіз қандай қайшылықты, бекол-көзді ақымақ?",1
"Сіз ақымақсыз, кешіріңіз бе?",1
"Маймыл колонативті, ер адам болу мүмкіндігін ескере отырып, Еуропаға әкелінді.",1
"Қандай кеңестік мүкті Кряк Кряк Кряк-Қряк ағайындыларын, сіз нөлден қалай сақтайсыз, ол жерде Хохлосрачичтердің нөлінен қанша ескірген, ол Дроздовскийдің күнделіктерін оқыңыз, ол олардан украиндық ұлтшылдар қаладан шыққан кезде, олардың арқасында қорлауды айқайлады",1
"Мысалы, жазда жаз аяқталып, егер мен тез қайта құрылмасам, мен жалға алынған пәтерлерде жыл бойы өмір сүрер едім.",0
"Шариков педофиліне 2к19 ж., Педофилияда, Педофилияда шектеулер бар ма?",1
"Ия, бірақ егер сіз аймақтың тарихына сәл бұрын қарасаңыз, ол осындай болады: орыстар виртхтермен достасып келді.",0
1) Қандай фук - сіз малдың слэдгын қайда көрдіңіз?,1
"Vanka, PR-дің PR-ді және сізбен келіспейтіндердің барлығыңыз (және сіз барлық келіспейсіз, 2016 жылдан басқа) модератор сорттары деп аталады.",1
"Иә Жоқ, заманауи, салыстырмалы, техниканың бар.",0
Мысал мынабалы Мұнигр: https: www.google.ru url sa t SCHNCH jur rct j URL http :?,0
"Сен анаң да, қарындасың қымбаттымсың ба?",1
0.0036 болаттың нақты өткізгіштігі 0.0036 суы 0.0036 суы 36 мксм м болаттан 10м м,0
"Сіз шынымен ақымақсыз ба, crest?",1
"Вашингтон, DC Maryeh Carey stityandry тым көп қанмен улану, подагра, бүйректер, бүйректерінің бұзылуы, алданған кезде, 18-ші көшелер және басқа да дональд Хуан Карлос Кастило келеді және барлығы газеттер мен бұқаралық ақпарат құралдарын айтады",1
"Қауіпсіздік ұлтқа қоңырау шалуды жалғастыруда, дегенмен олар күн сайын орыстарға ешкім ашуланбайды, бірақ олар оны ең алғашқы қорлаудан сақтайды.",1
"Жоқ, бұл сіздің свидомо миыңыз туралы, бұл сіздің свидомо миыңыз, мен сіздің анаңыз туралы ғана сөйлесіп жатырмын, мен тек 100-ге дейін тректі сорып жатыр, сондықтан сіз дикті байладыңыздан шетіне апарасыз ба?",1
"Айтпақшы, болат балтамен дінсіз болмайды.",0
Бұл тек қана троллингтің жаңа түрі - бұл түтіккендіктен троллинг.,1
Шамамен.,0
Сізде украиндық әлемді мас етуіңіз неде?,1
"Менің ойымша, бұл сілтеме ыңғайлы болады: сот: Сіз қызметкерден жұмыс кітабын басқа қалаға келуге талап ете алмайсыз: www.garant.ru Жаңалықтар 1232319",0
"Қызықты, бірақ біз не істей аламыз?",1
Бірақ сіз басқа күндердегі Харе Кришна мерекесі туралы хабарлама жіберген жоқсыз ба?,1
"Сізде мидың кремлептері бар, шұғыл дәрігерге",1
"Әрине, бұл резонанстық оқиға осы талқылаудан бұрын талқылауға және 19 жіпке жол бермейді.",0
"Маған бір сағат ішінде кім лақтырып жібергенін айтыңызшы, бұл ресейлік портал емес.",0
Сырыко Петухевеннің шоғыры өтінемін.,1
"Нерд, сен осыдан боласың, мен сенің ол жерде болатыныңды көрер едім.",1
"Сөз бостандығы, сіз айтасыз ба?",1
Ротшильділердің осы сөздерінде жеккөрушіліктің квинтессенті.,1
"Хм ... Менің ойымша, сіз мұндай шошқаның айқайларын естіген жоқсыз.",0
"Морон Хеммингті өлтірді Хруш, сондай-ақ көптеген жақсы нәрселер",1
Уайымдамаңыз) Жетсіздікке допсыз адам менің пікіріме жауап жазды,1
"Әрине, Шүлмен, әрине, оппозиция, ол да әйел, ақымақ, бірақ бұл кружканың ұшып кетуіне, орта біліммен, орта біліммен, Хамло мен украиндық ірі қара малы да, украиндық ірі қара майы бар, ал әкем",1
Мен көбінесе қайғы-қасіретке жетемін және неге менің халық биомасын ақымақтықтар деп атаймын деп сұраймын.,1
"Сіз, жаман адам, неге Пикабуға жаздыңыз?",1
"Мұнда орынсыз, тек сіздің найзалық парақтарыңыз, Кличкоға және құлаған туралы гаг деп жазуға тырысыңыз.",1
"Украиналар Ресейден, бірақ Кремльдегі қайықтарды барлық жерде, бірақ Кремль қайықтарын украиндар сүйреуге тырысады.",1
"Мен сұрауға ұялдым, сіз бас киімсіз, ағаштан кейін тұрдыңыз ба?",0
"Айтпаңыз, ол оған байланысты ақымаққа жетті.",0
Талап етіңіз,0
Менде TS сұрақтары бар.,0
"Империалистке олар бізге шабуыл жасағандықтан, олар бізге шабуыл жасаған, тонап, лас өтірікшілерге ұнамады.",0
Бұл мектеп оқушылары мен мектеп оқушыларына арналған.,1
Діни көп жағынан болуы мүмкін.,1
"Менің ойымша, Казимирко жанкүйерлерінің көпшілігі (бұрынғы бұрынғы) әлем мен Лугандонға қолдау көрсетті.",1
Танкерлер Pilarasy танк экипаждары кокскерлер танктерінің сою аяқталды,1
"Мен дерлік тамақ дайындаймын, тек қантты мүлдем қолданбаймын, орнына мен оның орнына, тартылған етке мейіз қосамын - дәмді болады.",0
Бірақ Хлебич оның қайғы екенін жасырды?,1
"Морантинг, дефляцияны ұстап тұрыңыз!",1
- Сіз мұнда мылқау бұқа кімге қоңырау шалдыңыз?,1
"Сіз сорғышта болдыңыз, мұнда желдеткішке көшіп келудің қажеті жоқ, ол кесек көрінеді.",1
"Бұл Skumbag 2 жылдан астам уақыт бойы террористік жіптерді жойды, хабарландыруларды қарап, көңіл көтереді.",1
"Бұл Skumbag 2 жылдан астам уақыт бойы террористік жіптерді жойды, хабарландыруларды қарап, көңіл көтереді.",1
Сіз тек жасырын вегетариансыз,1
Мен әлі күнге дейін жолдар арасындағы сіздің жолдарыңыздың заңсыз екендігінің дәлелі күтемін.,1
"Мен сенің досың емеспін, бокс қаңқасы",1
Кәмелетке толмағандардан кейінгі темлент.,1
Телефоныңызға TITN!,0
Керемет мылюшылар Кешіріңіз!,0
"Мен қазірдің өзінде жазды, кәсіби деформацияны қарастырайық.",1
Мен сіздің ескі жазбаларыңыздан иттерді осы мәселеде жегеніңіз туралы білемін) Сіз толығымен жүрдіңіз бе?,0
"Екінші жағынан, ешкім модераторды шақырмайды және суретті бір рет алып тастады.",0
"Қыз, сенің ойың жоқ па?",1
"Мен 7 жыл жұмыс істеген трансгазда, қазір демалыс орнына тек өтемақы бар (30 пайыз, мен нақты есімде жоқ).",0
Бұл ererefia) 2 әдіс бар: 1. Шит жасаңыз 2. Тыйым және бонус 3. Хохлов одан да жаман,1
"Бірақ іс жүзінде, кейбір битогопник ұйымдасқан қылмыстық топ құрды.",1
"Бекчаналия жалғасқан сайын, осы жіпке тыйым салуды жалғастыра берейік.",0
"Сізде Донбассты өлтірген бейбітшіліктер үшін жанашырлық жоқ па, себебі сізде бұл жолды көтерді ме, әлде сіз дүниеге келесіз бе?",0
"Ларин клоун, трюкта татуировкасы, ғылым мен басқа да заттарды бұзбайды",1
"Егер біреу партияның пікірінен өзгеше пікір білдірсе, украиндар өте күлкілі, содан кейін ол Ольгиноның кремшісі, пропутинді және т.б.",1
"В 1924417111-де осы жерде жіп жасады, B 19241711, B-дағы LGBT-ді насихаттау тек маған ғана емес, тым көп көрінеді.",1
Мен айырмашылықты және сіздің шағымдарыңыздың оларға қолданылмайтын нақты себептерін сипаттадым.,1
"Біздің уақытымызда көп немесе аз тұрақты және өзін-өзі қамтамасыз ететін индустриалды экономика мүмкін, тек ішкі нарыққа бағытталған және тек өз технологияларына негізделген бе?",0
Украиндықтардың не дуабы қандай?,1
"Сонымен, сіз сондай-ақ қарабайыр антис-семитациясыз ба?",1
"Әй, жоқ, сіз өзіңізді жуа алмайсыз.",1
"Habr-де сіздің постыңыз, ВФ мырза?",0
"Сонымен, ол жанғыш материалдардан 500 мм артқа қадам басу керек дейді, және бір бағытта бұл қашықтықты қалай азайту керектігі айтылған, бірақ бұл маған сәйкес келмейді.",0
Жас?,1
Сербдің дұрыс бомбаланған.,1
"Сонымен, бұл католиктер.",1
59 жыл орбит.,1
Бұл 60p сағат шығады ма?,0
Бандар сияқты.,0
"Қысқасы, сізден ақы немесе құл, не әрқашан тоналды",1
"Мен түсінгенімдей, Голубочкин клубпен шұңқыр болып табылады, блогер - Е.В.Грень, ал жаза мекрикасы кім?",0
"Қабылданбау, сіз барлық жерде бугортты көресіз бе?",1
"Украина тұрғындары ----- - украиндар, украиндар емес",0
"Қандай рейтингке қарамастан, ол басталады: Аххх ... Әрине, бәрі қайтадан сатып алынды.",1
"Жалпы алғанда, генерал, бір нәрсе туралы, ал өтірік айту - өтірік айту.",0
"Сіз сондай-ақ, сіз кең сүйекті көресіз.",1
Сен тролльсің бе?,1
"Жоқ, егер сіз оны салыстырсаңыз, сіз оны салыстырсаңыз, бұл сіздің ас үйіңізде, бірақ сіздің ас үйіңізде емес, бірақ сіздің жақын жеріңізде, не сіздің жақын жеріңізде, не, екеуі де сіз білмейтін біреу.",0
"Ал, бәрі түсінікті, бірақ енді ол маған постпостинг және қателіктеле алмағаны туралы есептерді түсіндіреді.",1
Неліктен ол сенімен сонша майлы?,0
"Мен, ақымақ, сатып алдым.",0
"Двах, неге чан соншалықты ақымақ?",1
"Плюс айқын: - ең жақсы, тұрақты жалақы, ең алдымен, ақшамсыз, фаготугриктерде.",0
"Сіз жалақыңызды алып, вазелин, соншалықты мейірімді кеңес алыңыз ...",0
Зәр бұл жерге кірмейді және олардың назарын қалай тартуға болады?,1
Гомофобия - жасанды құрылыс.,0
4000 рубль ойнады (2000),0
Қалған тағы не дұрыс?,1
"Вайл, ақымақ, бірақ күлкілі ақымақ",1
Менің 17кімде (!!!) Сібірдегі Мұхосраниде Шешендер мен Даги бар.,1
"Эй, балшықты қорлау?",1
Мың?,1
"1) Мен тағы бір рет қайталаймын, өзін-өзі қорғау немесе күнкөріс - бір нәрсе.",1
Сондай-ақ сендердің бірі сияқты ма?,1
"Айтыңызшы, YouTube-тағы қалай каталогтарды қалай каталога аласыз?",0
Сіздің қиялыңыз солай,1
Ал ресейлік постты не істеді?,0
Неге бәріңіз қызылсыз?,0
Сіз итке қосылғыңыз келеді.,1
"Сіз, әрине, айтар едіңіз.",1
"Бұл марихуана туралы және әдетте, әкеңіз жаңа есептік жазбаны күйдірмейінше осы жерден үрленеді.",1
Порндік айқайшылар қашаннан бері бір нәрсені бұзды?,1
Бірақ сіз осында қайталанасыз.,1
"Сен ұйықтап жатырсың ба, мен сені доңғалақтың артында деп атаймын",0
Терең ойламай ма?,1
Қателіксіз адамдарға өз проблемаларыңыздан өтіңіз?,0
"Егер сіз осындай пікір консольс болсаңыз - сіз оған сене бере аласыз, мұнда ұят нәрсе жоқ.",0
"Жақында Ерохин елден тыс жерде құлап, сен қазір өзіңде отырсың, сонда сен Сисаннан таба аласың !!",1
Рух оларға жеке айту жеткіліксіз бе?,1
"Солтүстік Корея жетекшісінің жеке фотографы Ким Чун-БҰҰ партиядан шығарылып, жұмыстан шығарылды, деп хабарлайды NK.",0
"Мен мұны телефоннан жасаймын, өйткені оны телефоннан жасаймын.",1
Мен оның қаржысы мен кім екеніне сенемін.,1
X ... ... сіздің мысықпен жүріңіз,1
Жіптеріңізді негізсіз ысқылаған кезде қалай сығып бастағаныңызды көрейік.,1
"Мен оны есекке, оның жазылушыларына, оның жазылушыларымен және оның қобалжыңдарға арналған құрамын жаттым.",1
Неліктен ұрпақ-зан чан ақ емес адамдарды қалайды?,1
"Бұл сайт - RUNET-тің төменгі жағы, олардың көпшілігі қоғамның құрметі мен тартқыштары болып табылады.",1
"Сіз жиіркеніштісіз, мен оны ресми түрде ол туралы ресми түрде белгілі болғанша жоққа шығардым.",1
Сіз мұны жөтелмен немесе тек дифтерия-сіреспен жасадыңыз ба?,0
"Бірақ неге оны өсіріп жатырсың, пиглет?",1
"Бұл клипті пролетаряндардың балаларына қалдырыңыз, сіз ақымақсыз.",1
"Жергілікті халықтың бас терілері ақшаны қабылдамады, балалардың қолдарын ата-аналарының қолдарын азайтпады, ал жоспарды орындамағаны үшін, жоспарды орындамағаны үшін, таңғажайып ыңғайлы тәсіл.",1
Huyase Мұнда Op op Schoolchrens obleds.,1
"Бұл сурет сізден үлкен, шошқалар.",1
"Жақсы xs, содан кейін жүк-200 сияқты фильмдегі барлық үлкен уәде маған жете алмады.",1
"Үйде сізде бірнеше әріптер аз, бірақ маған көп нәрсе керек.",0
"Ақымақ, менің көзім қан кетіп қалады, сізге қандай фук қажет?",1
Тастау.,0
"Ием, сен ауру адамысың.",1
"Мен украиндықтардың шұңқырлары бар деп айтуға кірдім, ол көп ұзамай салтанат түседі.",1
"Сіздің досыңыз сіздің шалбарыңызда көреді, бірақ мен сізге айтуым керек пе?",1
Жақсы екіжүзді Вражина!,1
Ссекотоно тілге не жауап береді?,1
"Модераторлар біртүрлі аңдар - мен бір адам туралы хабарға келемін, ол мен үшін жұмыс істейді, және мен де, мен де өзіммен таныс ... Олар маған бұдан да танысады ... Олар маған тыйым салған ... және мен бәрін шақырған бір жігітке қоңырау шалдым",0
"Churkabes қол жеткізіңіз, базарға, Chmyr нарығына шығыңыз",1
Біздің ойымызды ұрады.,1
"Сіз оны Хокхль, сорғышты шақыруды ұмытып кдіңіз.",1
"Білмеген жақсы, балақай.",0
"Білмеген жақсы, балақай.",0
Пікірлерде барлық әдепсіздікті қорғаған осындай ақымақтықтардың бәрі де көп болды.,1
Добби тегін !!!!!!!!!!!!!!!!!!!!!!!!!!!!,0
"Sruc Midlotian шошқа етін зерттеу орталығындағы ағылшын ғалымдары шошқалардың эмоционалды жағдайын бағалау үшін бетті тану технологиясын қолданады, күнделікті поштаңызға хабарлайды.",0
Мүмкін сіз әдемі боласыз,0
"Нақты кэшбэк 1 жазады, және 1 рубль 100 рубльден емес.",0
"Жақсы, мен қарап, кел, маған шапан бер.",1
Сіз өзіңіздің шизоид екеніңізді түсінесіз бе?,1
Менде не бар екенін білмеймін.,0
Сіз бір ханымға үйленуіңіз керек ...,0
Сіз Хабаровск қаласынан шығарсыз!),0
"Және бөтелкедегі Русак оянында шешен басып оянғанда, ол кездесуді қолдану үшін, ол жақында, оның Тағайыншысын кешірді",1
Және сіз әлі де бірдей,1
"Дәл, сіз нағыз түсінбейсіз - біздің отбасымызда біреу әрқашан саяхаттайды",1
"Тақырыпты бейхабар, соныңғыр деп толы.",1
Кім 3-тен астам адаммен бірге негізгі орындықтардың алдындағы нүкте ретінде жинай алмайды?,1
"pzdts сіз сығыңыз, қорлау керек болды ма?",1
Адамдарға жақсылық жасаңыз - және сізді әрдайым ренжіту және ұялу керек.,0
"Сіз Witty Knesty боласыз, мысалы, сізге өткір ақыл керек.",0
"Сізде Құдай - Құдай деген не, бірақ сіз христиандықты білдіресіз.",0
"22 және 407 түрлі компрессорлық мүмкіндіктерге арналған: 407 42 барды қажет етеді, ал 22-ші орында 26-ы қажет, сонымен қатар тоңазытқышқа арналған фримрондармен бірге.",0
"Сондай-ақ, біз ақ бояулар мен магниттік бояудың көмегімен жарықтарды ашамыз, содан кейін олар үлкен магнитке сүйеніп, жарықтар пайда болады.",0
"Шизики, міне, қыздыру үшін басқа.",1
Планшеттер сізге де көмектеспейді ме?,1
"Кәдімгі қиын жұмысшылар бір сағат өткеннен кейін, кәсіпорын үшін шығынсыз, бұрынғы мөлшерден ертерек қалатын өндірісті елестету қиын.",0
"Мен орындық туралы жазғаннан кейін, мен бір сағат жазғаннан кейін, мен бір сағатқа жаздым, маған ZBS жарнамасы айтылды және пост 10-ға жуық плюс жинады.",1
Тамбов понасы Сіз пирогтарсыз!,1
Қай қақпа қалды?,0
Бұл жеткіліксіз.,1
DVACH бар мылқау кокскерлер соңғы шолудағы совокты еске түсіреді.,1
"Жоқ, мүмкін мен толығымен жауап беремін.",0
"Ірі қара малды әдетте ойлануға тыйым салынады, ол боар үшін жұмыс істеуі керек және зейнетке шыққанға дейін біраз демалу керек.",1
"Жел-жиендің сіз өзіңіздің атаңыздың ағасы болсаңыз, онда сіз немере-жиендесіз.",0
Анти-кеңес жеткілікті.,1
"Ресей тромбтан балық аулады, бұл сіз «Алға Qazakstan-ға қол тигізбейсіз!",1
Бұл бұлттар қызғылт мақта жүні.,0
Сондықтан мен таң қалдым.,0
Біздің миымыз аралас әріптер жиынтығымен сөздерді тани алады.,1
"Жақсы, сен әдемісің, Чесщово ... Чо, ол шомылды, ол штангаға шықты ма?",0
"Посон WebCam Kakiei Ghei Heio Heuulyyy Gegeniraty жеткізеді, ол жай мұнда қажет.",1
"Сіз састанған, егеуқұйрықтардан және тарақандардан дірілдейсіз бе?",1
"EPT-ді әкелгіңіз келеді, олар қазірдің өзінде келді.",1
Сені ұрды.,1
